size_bytes,mode,enc_sec,dec_sec,ok
1048576,cbc,0.0031949230001373508,0.0014575609998246364,False
1048576,cbc,0.007279496999672119,0.0019043349998355552,False
1048576,cbc,0.0030973389998507628,0.0017509809999864956,False
1048576,gcm,0.0014267540000219014,0.001602800999989995,True
1048576,gcm,0.001694745999884617,0.002669009000328515,True
1048576,gcm,0.001686284999777854,0.0028496220002125483,True
5242880,cbc,0.011738577999949484,0.008530929999778891,False
5242880,cbc,0.013203166000039346,0.008081244000095467,False
5242880,cbc,0.01459496699999363,0.006761078000181442,False
5242880,gcm,0.0040470750000167754,0.011338486000113335,True
5242880,gcm,0.00919011700034389,0.014283804000115197,True
5242880,gcm,0.006488931000149023,0.013897072999952798,True
10485760,cbc,0.01866401399956885,0.015618402000200149,False
10485760,cbc,0.03320417700024336,0.01457580299984329,False
10485760,cbc,0.02798505100008697,0.014816456000062317,False
10485760,gcm,0.00873579700009941,0.02951929500022743,True
10485760,gcm,0.015514086999701249,0.03146760700019513,True
10485760,gcm,0.015033899000172823,0.02770127300027525,True
